competence_id,competence,bloc,description
C1,define database physical storage structure,Data Engineering & Databases,"Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary."
C2,"lead ICT data classification responsabilities
organise ICT data classification responsibilities","Cloud, DevOps & IT Systems",Oversee the classification system an organisation uses to organise its data. Assign an owner to each data concept or bulk of concepts and determine the value of each item of data.
C3,"implement online data analysis, undertake online data analysis, performing online data analysis, perform an online data analysis, performing an online data analysis,complete online data analysis",Data Analysis,"Analyse online experiences and online data for purposes of understanding user behaviour, triggers of online attention, and other factors that could optimise webpage development and exposure."
C4,"mathematical computation
mathematical representation
mathematical simulation",Data Analysis,"The process of establishing a mathematical representation problem, such as equations, of a real-word to provide insights, discover new features about the problematic scenario, better understand the original problem or to make predictions about it."
C5,propose technical solutions to business problems,"Cloud, DevOps & IT Systems","Suggest how to solve business issues, using ICT means, so that business processes are improved."
C6,"administer system
operate system
administer network and system","Cloud, DevOps & IT Systems","Handle components of ICT system by maintaining configuration, managing users, monitoring resource use, performing backups and installing hardware or software to comply with the set requirements."
C7,"oversee ICT change request process
coordinate ICT change request process
specify the need for ICT change requests
govern ICT change request process
handle ICT change request process","Cloud, DevOps & IT Systems","Specify the incentive for an ICT change request, stating which adjustment in the system needs to be accomplished and execute or supervise the execution of it."
C8,Agile management software,"Cloud, DevOps & IT Systems","The agile project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools."
C9,"design automated migration methods
design automated transfer of ICT information
generate automated transfer of ICT information
develop automated transfer of ICT information
create automated transfer of ICT information",Data Engineering & Databases,"Create automated transfer of ICT information between storage types, formats and systems to save human resources from performing the task manually."
C10,"capture IT knowledge
capture ICT knowledge","Cloud, DevOps & IT Systems",Evaluate the implicit mastery of skilled experts in an ICT system to make it explicit for further analysis and usage.
C11,"write research applications
gather and define user requirements
categorise customer requirements",Programming & Software Development,"Apply techniques and tools, such as surveys, questionnaires, ICT applications, for eliciting, defining, analysing, documenting and maintaining user requirements from system, service or product."
C12,sustainable computing,"Cloud, DevOps & IT Systems","The use of ICT systems in an environmentally responsible and sustainable manner, such as the implementation of energy-efficient servers and central processing units (CPUs), reduction of resources and correct disposal of e-waste."
C13,"perform data analysis activities on vessel data
use ship data analysis in decision making
conduct data analysis activities on ship data
evaluate ship data
conduct analysis of vessel data
perform analysis of vessel data
perform analysis of ship data
utilise vessel data analysis in decision making
analyse ship data",Data Analysis,Collect information from a vessel's management software and cross reference it to analyse the data from different points of view and inform decision-making.
C14,"business analytics
BI
business intelligence tools",Data Analysis,The tools used to transform large amounts of raw data into relevant and helpful business information.
